county	/PID	d1996	c1996	b2000	g2000	b2004	k2004	etouch	income	hispanic	b00pc	b04pc	b_change	b00pc_sq	size	b00pc_e	b00pcsq_e	votes04	votes00	v_change	d96pc	gew	b2004n	k2004n	vervar	neuvar	population
Alachua	290	25303	40144	34124	47365	47615	62348	0	32724	0.05700000002980232	0.4187559187412262	0.4330092966556549	0.014253377914428711	0.17535652220249176	109963	0	0	109963	81489	28474	0.38661816716194153	2	47615	62348	0	1	217955
Baker	291	3684	2273	5610	2392	7738	2180	0	39070	0.01899999938905239	0.7010747194290161	0.7801976203918457	0.07912290096282959	0.49150577187538147	9918	0	0	9918	8002	1916	0.6184321045875549	1	7738	2180	0	1	22259
Bay	292	28290	17020	38637	18850	53305	21034	0	35547	0.024000000208616257	0.672099769115448	0.7170529365539551	0.04495316743850708	0.4517180919647217	74339	0	0	74339	57487	16852	0.624365508556366	1	53388	21058	1	0	148217
Brevard	293	87980	80416	115185	97318	152838	110153	0	40673	0.04600000008940697	0.5420393943786621	0.5811529755592346	0.03911358118057251	0.29380670189857483	262991	0	0	262991	212503	50488	0.5224589705467224	3	152838	110153	0	1	476230
Bradford	294	4038	3356	5414	3075	7553	3244	0	32889	0.024000000208616257	0.6377665400505066	0.6995461583137512	0.06177961826324463	0.40674614906311035	10797	0	0	10797	8489	2308	0.5461184978485107	1	7553	3244	0	1	26088
Broward	295	142834	320736	177902	387703	238397	443535	1	42690	0.16699999570846558	0.3145340085029602	0.34959056973457336	0.03505656123161316	0.09893164038658142	681932	0.314534009	0.09893164	681932	565605	116327	0.30811744928359985	1	243699	452360	1	1	1623018
Calhoun	296	1717	1794	2873	2155	3780	2116	0	27027	0.03799999877810478	0.5714001655578613	0.6411126255989075	0.06971246004104614	0.3264981508255005	5896	0	0	5896	5028	868	0.4890344738960266	1	3780	2116	0	0	13017
Charlotte	297	27836	27121	35426	29645	44402	34227	1	36087	0.032999999821186066	0.5444207191467285	0.564702570438385	0.020281851291656494	0.2963939309120178	78629	0.544420719	0.296393931	78629	65071	13558	0.5065050721168518	1	44402	34227	0	1	141627
Citrus	298	20114	22042	29767	25525	39496	29271	0	31358	0.027000000700354576	0.5383599996566772	0.5743452310562134	0.03598523139953613	0.2898314893245697	68767	0	0	68767	55292	13475	0.47713255882263184	1	39498	29274	1	0	118085
Clay	299	30332	13246	41736	14632	61881	18905	0	48988	0.0430000014603138	0.7404201030731201	0.7659866809844971	0.025566577911376953	0.5482219457626343	80786	0	0	80786	56368	24418	0.6960392594337463	1	61881	18905	0	1	140814
Collier	300	42590	23182	60450	29921	82493	43277	1	47792	0.19599999487400055	0.6689092516899109	0.6559036374092102	-0.013005614280700684	0.447439581155777	125770	0.668909252	0.447439581	125770	90371	35399	0.6475399732589722	2	83485	43713	1	0	251377
Columbia	301	7588	6691	10964	7047	16753	8029	0	31293	0.027000000700354576	0.6087390780448914	0.6760148406028748	0.0672757625579834	0.370563268661499	24782	0	0	24782	18011	6771	0.531409740447998	1	16753	8029	0	0	56513
Desoto	302	3272	3219	4256	3320	5510	3910	0	29950	0.24899999797344208	0.5617740154266357	0.5849257111549377	0.023151695728302002	0.3155900537967682	9420	0	0	9420	7576	1844	0.5040825605392456	1	5512	3910	1	0	32209
Dixie	303	1398	1731	2697	1826	4433	1959	0	26372	0.017999999225139618	0.5962856411933899	0.6935231685638428	0.09723752737045288	0.35555657744407654	6392	0	0	6392	4523	1869	0.44678810238838196	1	4433	1959	0	1	13827
Duval	304	126857	112258	152098	107864	218476	157624	0	41326	0.04100000113248825	0.5850778222084045	0.5808987021446228	-0.004179120063781738	0.34231606125831604	376100	0	0	376100	259962	116138	0.5305271744728088	4	219251	158121	1	1	778879
Escambia	305	60839	37768	73017	40943	93311	48207	0	34355	0.027000000700354576	0.6407248377799988	0.6593578457832336	0.018633008003234863	0.4105283319950104	141518	0	0	141518	113960	27558	0.6169846057891846	2	93367	48243	1	1	294410
Flagler	306	8232	9583	12613	13897	19624	18563	0	40435	0.050999999046325684	0.47578272223472595	0.5138921737670898	0.03810945153236389	0.2263692021369934	38187	0	0	38187	26510	11677	0.46208250522613525	1	19632	18574	1	1	49832
Franklin	307	1563	2095	2454	2046	3472	2400	0	27746	0.024000000208616257	0.5453333258628845	0.5912806391716003	0.04594731330871582	0.2973884344100952	5872	0	0	5872	4500	1372	0.4272826611995697	1	3472	2400	0	1	11057
Gadsden	308	3813	9405	4767	9735	6236	14610	0	30650	0.06199999898672104	0.3287132680416107	0.2991461157798767	-0.02956715226173401	0.10805241018533707	20846	0	0	20846	14502	6344	0.2884702682495117	1	6253	14629	1	1	45087
Gilchrist	309	1939	1985	3300	1910	4930	2015	0	30708	0.02800000086426735	0.6333973407745361	0.7098631858825684	0.07646584510803223	0.40119218826293945	6945	0	0	6945	5210	1735	0.4941386282444	1	4934	2016	1	1	14437
Glades	310	1361	1530	1841	1442	2437	1712	0	30379	0.1509999930858612	0.5607675909996033	0.5873704552650452	0.026602864265441895	0.31446027755737305	4149	0	0	4149	3283	866	0.4707713723182678	1	2443	1718	1	0	10576
Gulf	311	2424	2480	3550	2397	5972	2929	0	30014	0.019999999552965164	0.5969396233558655	0.670935869216919	0.07399624586105347	0.35633692145347595	8901	0	0	8901	5947	2954	0.49429038166999817	1	4794	2398	1	1	13332
Hamilton	312	1518	1734	2146	1722	2787	2258	0	26032	0.06400000303983688	0.5548086762428284	0.552428126335144	-0.002380549907684326	0.3078126609325409	5045	0	0	5045	3868	1177	0.4667896628379822	1	2792	2260	1	1	13327
